Time,Obs
1950-07-01,-8.24270272175936
1951-07-01,-8.8999938680013
1952-07-01,-10.0587882314046
1953-07-01,-7.85411336839464
1954-07-01,-4.90551802147759
1955-07-01,-1.74948573481242
1956-07-01,-0.0542078272501625
1957-07-01,-3.78513290506999
1958-07-01,-3.78513290506999
1959-07-01,-3.78513290506999
1960-07-01,-5.21107652626038
1961-07-01,-1.52719453144073
1962-07-01,1.67618241360982
1963-07-01,4.13329994608561
1964-07-01,1.87054209047953
1965-07-01,-1.63905782203674
1966-07-01,-3.53872476863861
1967-07-01,-5.80988131154378
1968-07-01,-0.473847973378499
1969-07-01,-0.73119093814426
1970-07-01,-1.81656449305216
1971-07-01,-6.76363106576829
1972-07-01,-10.846628365818
1973-07-01,-7.43020591948538
1974-07-01,-4.2828705530274
1975-07-01,0.323128554371425
1976-07-01,7.91886092453003
1977-07-01,7.05947163085937
1978-07-01,10.2961158711751
1979-07-01,2.46548533528646
1980-07-01,2.56620402679443
1981-07-01,-4.53539613571167
1982-07-01,1.41038711090088
1983-07-01,-0.434377385601485
1984-07-01,-2.28419603140933
1985-07-01,-4.1289605279117
1986-07-01,-5.97372502441406
1987-07-01,-3.60905815124512
1988-07-01,-3.60905815124512
1989-07-01,-0.369643056488037
1990-07-01,0.505105165100098
1991-07-01,1.98038809509277
1992-07-01,3.45567102508545
1993-07-01,6.23438880081177
1994-07-01,4.2963713508606
1995-07-01,3.73469181009928
1996-07-01,1.5361424794515
1997-07-01,3.66566830851237
1998-07-01,5.34091295674642
1999-07-01,1.4742768661499
2000-07-01,0.614865894571939
2001-07-01,-3.27241957804362
2002-07-01,-1.00726422424316
2003-07-01,-4.97660762786865
2004-07-01,-5.96446672973633
2005-07-01,-5.28792849477132
2006-07-01,-3.41771065877279
2007-07-01,-3.24670853525798
2008-07-01,-4.34473006083171
2009-07-01,-3.28008102060954
2010-07-01,-1.02852999013265
2011-07-01,-0.525023766581217
2012-07-01,-1.37704910125732
2013-07-01,-2.75056339772542
2014-07-01,NaN
2015-07-01,NaN
2016-07-01,NaN
2017-07-01,NaN
2018-07-01,NaN
2019-07-01,NaN
2020-07-01,NaN
