Time,Obs
1950-07-01,1.28558471679688
1951-07-01,1.28558471679688
1952-07-01,4.85288482289255
1953-07-01,4.88770711011847
1954-07-01,4.49733364026733
1955-07-01,2.53590799590688
1956-07-01,0.114464307243441
1957-07-01,-2.74472451265987
1958-07-01,-5.60391333256319
1959-07-01,-8.4631021524665
1960-07-01,-11.3301243663969
1961-07-01,-3.69763576447018
1962-07-01,2.90855046025029
1963-07-01,5.70488278666501
1964-07-01,4.08611706446088
1965-07-01,-0.671738450792101
1966-07-01,0.462956017388238
1967-07-01,-9.17789915296767
1968-07-01,-16.103635474311
1969-07-01,-12.1264985148112
1970-07-01,-10.0272700557002
1971-07-01,-8.19978499801071
1972-07-01,-9.93161842628762
1973-07-01,-6.00695667085193
1974-07-01,-2.02760158639736
1975-07-01,1.64246006072514
1976-07-01,3.77664354112413
1977-07-01,-1.22044789632161
1978-07-01,-1.90468234592014
1979-07-01,-9.08000207971643
1980-07-01,-8.50832374855324
1981-07-01,-11.1259100002713
1982-07-01,-2.86274373372396
1983-07-01,-1.18587940608007
1984-07-01,0.495579070406673
1985-07-01,2.17244339805056
1986-07-01,3.84930772569444
1987-07-01,3.63023871527778
1988-07-01,3.63023871527778
1989-07-01,9.34007914225261
1990-07-01,15.2689885796441
1991-07-01,21.1420371500651
1992-07-01,27.0150857204861
1993-07-01,23.8652615017361
1994-07-01,15.9188536241319
1995-07-01,12.4345529966001
1996-07-01,11.6689955873843
1997-07-01,11.357880452474
1998-07-01,13.2823503056279
1999-07-01,4.97417688440393
2000-07-01,-0.752568811487269
2001-07-01,-8.58012781213831
2002-07-01,-8.78777777777778
2003-07-01,-11.0659187373409
2004-07-01,-11.5019888870804
2005-07-01,-10.6348586244936
2006-07-01,-8.54890534577546
2007-07-01,-7.6956275318287
2008-07-01,-8.57543854890046
2009-07-01,-8.7595775462963
2010-07-01,-7.10215747974537
2011-07-01,-6.90997278284144
2012-07-01,-6.89065673828125
2013-07-01,-3.06845115379051
2014-07-01,-1.30758009168837
2015-07-01,5.44718424479167
